Date,full,no_pods,hmm_only,no_decay,no_bandit_a,no_bandit_b,no_bandit_c,buy_and_hold,static_40,benchmark_spx
2015-04-16,99789.32813500434,100237.2951594171,99071.52527000678,99950.01598262436,99657.63546634704,99145.02800536435,99830.46294938127,100533.22497534266,99303.83967513082,103444.8849028033
2015-04-17,98927.774301097,99355.42985999801,98257.27395322852,99066.02838389235,98755.33144706489,98349.10307890647,98927.02999324026,99455.11297381965,98854.97504260397,102254.90258920468
2015-04-20,99376.1467045522,99763.59571748432,98799.67198285784,99547.61485478023,99244.4625876507,98835.64225533641,99402.46787478456,99912.68118954966,99085.9391291395,103189.17815219295
2015-04-21,98568.83649499017,99102.75789780781,97963.67727433535,98704.7714152795,98451.11594706544,98001.16755044527,98595.34883471631,99364.71260937428,98701.64756833419,103066.25334454526
2015-04-22,99089.08315700109,99510.08257394421,98481.98182085404,99225.4647657942,98978.44951188026,98539.01710013363,99105.2463817329,99916.35522762199,98915.94629294076,103572.76540783871
2015-04-23,99280.12668546956,99761.40330725205,98626.80885522463,99423.38511169753,99137.22607043324,98689.82375474488,99317.85380514152,100149.69495461784,99146.79284449131,103833.3735963763
2015-04-24,99449.66722591277,100055.9148206844,98791.79388388681,99593.23897602216,99300.65942206912,98836.32681326501,99534.16394593168,100314.89366573429,99378.219724461,104074.33081698787
2015-04-27,98957.26861589981,99529.01146182694,98332.96890913199,99091.89635590982,98836.26400711157,98379.59003931141,99011.87187663802,99961.17437855176,99041.17632032029,103641.59353341855
2015-04-28,99272.43099088286,99754.71308642246,98632.22764237357,99405.4512529455,99172.26384114104,98665.7301198607,99313.47011841758,100227.70338911338,99142.6625456043,103971.07506375301
2015-04-29,99038.27310248755,99296.28539058688,98424.50706411173,99168.23221792883,98935.48787666576,98477.05189097437,99089.33900135191,99712.8893218638,98816.07870038546,103543.23921811093
2015-04-30,98511.09942506332,98684.0788384268,97942.25157559695,98650.25016106131,98412.15371378404,98015.66500775031,98515.92240075415,99138.2753363778,98491.04103766565,102505.70790188778
2015-05-01,99588.07582474359,99799.62241551137,99060.8829291515,99731.49962888422,99496.8020095131,99093.87097629935,99556.82139505175,100287.99762431408,99065.70449211098,103617.03208432187
2015-05-04,100245.3209133128,100347.96165601768,99656.23946502319,100386.33829208901,100137.65020770386,99733.67206144694,100252.39021134755,100853.00357747226,99365.66009842583,103912.04077078427
